,type,price,beds,bath,propertysqft,locality,sublocality,latitude,longitude,borough,zip_code,broker_name
943,Co-op for sale,257000,3,1.0,450.0,Kings County,Brooklyn,40.575626,-73.96678,Brooklyn,11235,Other
944,Condo for sale,1090000,2,2.0,1860.0,Queens County,Queens,40.78792,-73.78637,Other,11360,Other
945,Townhouse for sale,2045000,6,4.0,3976.0,New York,New York County,40.830566,-73.94696,Manhattan,10031,Other
946,Multi-family home for sale,1195000,3,2.0,2700.0,New York,Richmond County,40.542465,-74.17466,Staten Island,10312,Robert DeFalco Realty
947,Co-op for sale,340000,2,1.0,900.0,Bronx County,The Bronx,40.89195,-73.89737,Bronx,10471,Century 21
948,House for sale,1375000,6,2.0,1596.0,New York,Queens County,40.768105,-73.810776,Queens,11354,RE/MAX
949,House for sale,749000,3,1.0,1644.0,New York,Richmond County,40.626705,-74.10521,Staten Island,10310,Other
950,Co-op for sale,775000,3,2.0,1880.0,New York County,New York,40.763664,-73.96551,Manhattan,10065,COMPASS
951,Multi-family home for sale,948000,7,3.0,2184.2078,New York,Queens County,40.69433,-73.7582,Other,11412,Voro Llc
952,House for sale,880000,3,2.0,2184.2078,New York,Queens County,40.743996,-73.90855,Queens,11377,eXp Realty
953,Co-op for sale,699000,1,1.0,600.0,New York County,New York,40.77946,-73.97992,Manhattan,10023,Douglas Elliman
954,Co-op for sale,2250000,4,3.0,2184.2078,New York,New York County,40.78309,-73.97132,Manhattan,10024,COMPASS
955,Co-op for sale,319000,3,1.0,2184.2078,New York County,New York,40.8153,-73.93807,Manhattan,10037,COMPASS
956,Multi-family home for sale,1300000,6,3.0,2184.2078,New York,Kings County,40.623684,-73.92131,Brooklyn,11234,Other
957,Multi-family home for sale,729000,3,3.0,1800.0,New York,Kings County,40.639122,-73.91124,Brooklyn,11236,Fillmore Real Estate
958,Condo for sale,425000,2,2.0,800.0,Bronx County,The Bronx,40.88489,-73.91104,Bronx,10463,Other
959,Co-op for sale,399000,1,1.0,2184.2078,New York County,New York,40.7724,-73.94822,Manhattan,10028,Corcoran
960,Co-op for sale,625000,3,1.0,652.0,Brooklyn,Brooklyn Heights,40.702335,-73.993744,Brooklyn,11201,Corcoran
961,Co-op for sale,269000,1,1.0,700.0,Queens County,Queens,40.731895,-73.85996,Queens,11374,Other
962,Condo for sale,449000,2,2.0,1440.0,New York,Richmond County,40.580135,-74.15415,Staten Island,10314,Other
963,Multi-family home for sale,699000,8,5.0,2300.0,New York,Bronx County,40.846092,-73.888794,Bronx,10457,Keystone Realty USA Corp
964,Co-op for sale,550000,3,2.0,1250.0,New York County,New York,40.807198,-73.94182,Manhattan,10035,COMPASS
965,House for sale,758000,3,1.0,1200.0,United States,New York,40.590878,-73.986595,Brooklyn,11214,RE/MAX
